Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6, HSN Code, Second Name
TARJETA DE RED USB,A170,,,C01,U001,U001,U001,1,400,0,,Inclusivo,no_image.png,,,,,,,,,,
CONVERTIDOR DE IDE A SATA PARA PC,A171,,,C01,U001,U001,U001,1,350,0,,Inclusivo,no_image.png,,,,,,,,,,
OJO DE PSP,A172,,,C01,U001,U001,U001,1,800,0,,Inclusivo,no_image.png,,,,,,,,,,
BATERIA DELL EXTENDIDA PARA D630-620 DE 85W20001800,A173,,,C01,U001,U001,U001,1,2000,0,,Inclusivo,no_image.png,,,,,,,,,,
CONECTOR RJ45,A174,,,C01,U001,U001,U001,1,10,0,,Inclusivo,no_image.png,,,,,,,,,,
"ROUTER DE CLARO, THOMSON",A175,,,C01,U001,U001,U001,1,2700,0,,Inclusivo,no_image.png,,,,,,,,,,
"BATERIA HP, M06 PARA DVD",A176,,,C01,U001,U001,U001,1,2000,0,,Inclusivo,no_image.png,,,,,,,,,,
"TARJETA DE VIDEO PCI SPRESS, DDR3, 1GB",A177,,,C01,U001,U001,U001,1,2000,0,,Inclusivo,no_image.png,,,,,,,,,,
TECLADO PARA MINI DELL 10-12,A178,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
TECLADO DELL VOSTO,A179,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"TECLADO DELL IMSPIRE, 15-25",A180,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
DVD ROM PARA MINI LAPTOP,A181,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
"TECLADO HP, G60",A182,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"TABLE ZTE 16GB, 1GB  DE RAM FUENTE Y CABLE USB, CAMARA ALANTE Y ATRAS",A183,,,C01,U001,U001,U001,1,5000,0,,Inclusivo,no_image.png,,,,,,,,,,
"IPHONE 4, CLASE A, 8GB",A184,,,C01,U001,U001,U001,1,7500,0,,Inclusivo,no_image.png,,,,,,,,,,
"CAMARA OLIMPUS, 7.1, FE 203",A185,,,C01,U001,U001,U001,1,2500,0,,Inclusivo,no_image.png,,,,,,,,,,
RAQUE IDE PARA LAPTOP,A186,,,C01,U001,U001,U001,1,450,0,,Inclusivo,no_image.png,,,,,,,,,,
CARGADOR DELL DE 3 ORIGINAL A.,A187,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR DELL MODERNO 65W, 19.5V, 3.34A",A188,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR DELL, ORIGINAL NORMAL 19.5V, 3.34A - 4.6A",A189,,,C01,U001,U001,U001,1,1250,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR DELL ORIGINAL, REFUBICHE USADO",A190,,,C01,U001,U001,U001,1,900,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR HP-DELL, GENERICO PUNTA ANCHA",A191,,,C01,U001,U001,U001,1,800,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR HP, PUNTA ANCHA",A192,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR HP, GENERICO, PUNTA ANCHA",A193,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
CARGADOR HP COMPAG,A194,,,C01,U001,U001,U001,1,850,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR HP, PUNTA FINA",A195,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
CARGADOR PUNTA AMARILLA,A196,,,C01,U001,U001,U001,1,1200,0,,Inclusivo,no_image.png,,,,,,,,,,
CARGADOR MINI HP,A197,,,C01,U001,U001,U001,1,900,0,,Inclusivo,no_image.png,,,,,,,,,,
"CARGADOR IBM, PUNTA ANCHA",A198,,,C01,U001,U001,U001,1,1000,0,,Inclusivo,no_image.png,,,,,,,,,,
